QTPy channel,Samples averaged,ADC code,QTPy identifier
AI0,1,32688.0,48ca43576cdc
AI1,1,32807.0,48ca43576cdc
AI2,1,32370.0,48ca43576cdc
AI3,1,32330.0,48ca43576cdc
AI4,1,32807.0,48ca43576cdc
AI5,1,32350.0,48ca43576cdc
AI6,1,32489.0,48ca43576cdc
AI7,1,32985.0,48ca43576cdc
AI0,10,32810.5,48ca43576cdc
AI1,10,32747.2,48ca43576cdc
AI2,10,32403.7,48ca43576cdc
AI3,10,32453.2,48ca43576cdc
AI4,10,32413.6,48ca43576cdc
AI5,10,32477.0,48ca43576cdc
AI6,10,32498.9,48ca43576cdc
AI7,10,32806.6,48ca43576cdc
AI0,20,32811.6,48ca43576cdc
AI1,20,32810.5,48ca43576cdc
AI2,20,32403.6,48ca43576cdc
AI3,20,32454.1,48ca43576cdc
AI4,20,32420.5,48ca43576cdc
AI5,20,32461.3,48ca43576cdc
AI6,20,32415.5,48ca43576cdc
AI7,20,32848.3,48ca43576cdc
AI0,50,32794.7,48ca43576cdc
AI1,50,32796.0,48ca43576cdc
AI2,50,32451.2,48ca43576cdc
AI3,50,32411.9,48ca43576cdc
AI4,50,32429.0,48ca43576cdc
AI5,50,32409.6,48ca43576cdc
AI6,50,32445.3,48ca43576cdc
AI7,50,32793.5,48ca43576cdc
AI0,100,32814.9,48ca43576cdc
AI1,100,32796.3,48ca43576cdc
AI2,100,32399.0,48ca43576cdc
AI3,100,32403.8,48ca43576cdc
AI4,100,32431.2,48ca43576cdc
AI5,100,32404.2,48ca43576cdc
AI6,100,32415.1,48ca43576cdc
AI7,100,32815.2,48ca43576cdc
AI0,200,32823.9,48ca43576cdc
AI1,200,32817.7,48ca43576cdc
AI2,200,32407.5,48ca43576cdc
AI3,200,32416.8,48ca43576cdc
AI4,200,32434.5,48ca43576cdc
AI5,200,32433.2,48ca43576cdc
AI6,200,32411.7,48ca43576cdc
AI7,200,32795.3,48ca43576cdc
AI0,500,32808.0,48ca43576cdc
AI1,500,32813.9,48ca43576cdc
AI2,500,32416.7,48ca43576cdc
AI3,500,32423.7,48ca43576cdc
AI4,500,32427.2,48ca43576cdc
AI5,500,32435.2,48ca43576cdc
AI6,500,32455.5,48ca43576cdc
AI7,500,32814.1,48ca43576cdc
AI0,1000,32813.8,48ca43576cdc
AI1,1000,32816.7,48ca43576cdc
AI2,1000,32418.5,48ca43576cdc
AI3,1000,32434.8,48ca43576cdc
AI4,1000,32426.6,48ca43576cdc
AI5,1000,32430.2,48ca43576cdc
AI6,1000,32425.4,48ca43576cdc
AI7,1000,32816.7,48ca43576cdc
AI0,2000,32818.9,48ca43576cdc
AI1,2000,32819.6,48ca43576cdc
AI2,2000,32417.9,48ca43576cdc
AI3,2000,32420.8,48ca43576cdc
AI4,2000,32416.9,48ca43576cdc
AI5,2000,32429.4,48ca43576cdc
AI6,2000,32436.4,48ca43576cdc
AI7,2000,32807.7,48ca43576cdc
AI0,1,32985.0,48ca43576cdc
AI1,1,32807.0,48ca43576cdc
AI2,1,32370.0,48ca43576cdc
AI3,1,32489.0,48ca43576cdc
AI4,1,32469.0,48ca43576cdc
AI5,1,32767.0,48ca43576cdc
AI6,1,32489.0,48ca43576cdc
AI7,1,32787.0,48ca43576cdc
AI0,10,32766.9,48ca43576cdc
AI1,10,32788.8,48ca43576cdc
AI2,10,32389.8,48ca43576cdc
AI3,10,32407.6,48ca43576cdc
AI4,10,32403.6,48ca43576cdc
AI5,10,32417.5,48ca43576cdc
AI6,10,32465.1,48ca43576cdc
AI7,10,32834.4,48ca43576cdc
AI0,20,32865.1,48ca43576cdc
AI1,20,32755.9,48ca43576cdc
AI2,20,32405.7,48ca43576cdc
AI3,20,32385.8,48ca43576cdc
AI4,20,32393.8,48ca43576cdc
AI5,20,32419.5,48ca43576cdc
AI6,20,32462.3,48ca43576cdc
AI7,20,32794.6,48ca43576cdc
AI0,50,32830.8,48ca43576cdc
AI1,50,32804.7,48ca43576cdc
AI2,50,32443.7,48ca43576cdc
AI3,50,32469.5,48ca43576cdc
AI4,50,32441.8,48ca43576cdc
AI5,50,32451.7,48ca43576cdc
AI6,50,32462.3,48ca43576cdc
AI7,50,32797.9,48ca43576cdc
AI0,100,32835.2,48ca43576cdc
AI1,100,32805.6,48ca43576cdc
AI2,100,32382.4,48ca43576cdc
AI3,100,32448.3,48ca43576cdc
AI4,100,32424.7,48ca43576cdc
AI5,100,32425.9,48ca43576cdc
AI6,100,32434.8,48ca43576cdc
AI7,100,32816.2,48ca43576cdc
AI0,200,32833.0,48ca43576cdc
AI1,200,32825.7,48ca43576cdc
AI2,200,32423.5,48ca43576cdc
AI3,200,32405.4,48ca43576cdc
AI4,200,32438.9,48ca43576cdc
AI5,200,32426.0,48ca43576cdc
AI6,200,32426.1,48ca43576cdc
AI7,200,32819.2,48ca43576cdc
AI0,500,32827.4,48ca43576cdc
AI1,500,32827.6,48ca43576cdc
AI2,500,32435.3,48ca43576cdc
AI3,500,32428.3,48ca43576cdc
AI4,500,32436.9,48ca43576cdc
AI5,500,32444.0,48ca43576cdc
AI6,500,32431.8,48ca43576cdc
AI7,500,32821.4,48ca43576cdc
AI0,1000,32829.3,48ca43576cdc
AI1,1000,32823.9,48ca43576cdc
AI2,1000,32417.3,48ca43576cdc
AI3,1000,32428.7,48ca43576cdc
AI4,1000,32421.4,48ca43576cdc
AI5,1000,32432.1,48ca43576cdc
AI6,1000,32429.3,48ca43576cdc
AI7,1000,32813.9,48ca43576cdc
AI0,2000,32818.8,48ca43576cdc
AI1,2000,32827.0,48ca43576cdc
AI2,2000,32416.5,48ca43576cdc
AI3,2000,32433.3,48ca43576cdc
AI4,2000,32429.6,48ca43576cdc
AI5,2000,32425.1,48ca43576cdc
AI6,2000,32434.0,48ca43576cdc
AI7,2000,32811.8,48ca43576cdc
AI0,1,32846.0,48ca43576cdc
AI1,1,32846.0,48ca43576cdc
AI2,1,32370.0,48ca43576cdc
AI3,1,32568.0,48ca43576cdc
AI4,1,32489.0,48ca43576cdc
AI5,1,32509.0,48ca43576cdc
AI6,1,32568.0,48ca43576cdc
AI7,1,32946.0,48ca43576cdc
AI0,10,32806.6,48ca43576cdc
AI1,10,32780.7,48ca43576cdc
AI2,10,32451.3,48ca43576cdc
AI3,10,32483.2,48ca43576cdc
AI4,10,32435.5,48ca43576cdc
AI5,10,32455.1,48ca43576cdc
AI6,10,32552.6,48ca43576cdc
AI7,10,32794.7,48ca43576cdc
AI0,20,32791.8,48ca43576cdc
AI1,20,32814.6,48ca43576cdc
AI2,20,32441.3,48ca43576cdc
AI3,20,32384.7,48ca43576cdc
AI4,20,32451.3,48ca43576cdc
AI5,20,32400.6,48ca43576cdc
AI6,20,32373.8,48ca43576cdc
AI7,20,32796.7,48ca43576cdc
AI0,50,32832.4,48ca43576cdc
AI1,50,32822.6,48ca43576cdc
AI2,50,32436.6,48ca43576cdc
AI3,50,32425.0,48ca43576cdc
AI4,50,32418.3,48ca43576cdc
AI5,50,32424.2,48ca43576cdc
AI6,50,32442.1,48ca43576cdc
AI7,50,32809.4,48ca43576cdc
AI0,100,32830.6,48ca43576cdc
AI1,100,32834.2,48ca43576cdc
AI2,100,32421.1,48ca43576cdc
AI3,100,32397.6,48ca43576cdc
AI4,100,32410.8,48ca43576cdc
AI5,100,32444.3,48ca43576cdc
AI6,100,32422.5,48ca43576cdc
AI7,100,32827.8,48ca43576cdc
AI0,200,32835.8,48ca43576cdc
AI1,200,32825.5,48ca43576cdc
AI2,200,32416.6,48ca43576cdc
