QTPy channel,Samples averaged,ADC code,QTPy identifier
AI5,10,2541.5,48ca43576cdc
AI6,10,2662.6,48ca43576cdc
AI7,10,2893.2,48ca43576cdc
AI0,20,2908.95,48ca43576cdc
AI1,20,2961.55,48ca43576cdc
AI2,20,2574.15,48ca43576cdc
AI3,20,2551.4,48ca43576cdc
AI4,20,2601.0,48ca43576cdc
AI5,20,2607.95,48ca43576cdc
AI6,20,2583.15,48ca43576cdc
AI7,20,2941.6,48ca43576cdc
AI0,50,2946.76,48ca43576cdc
AI1,50,2940.74,48ca43576cdc
AI2,50,2555.34,48ca43576cdc
AI3,50,2558.46,48ca43576cdc
AI4,50,2560.5,48ca43576cdc
AI5,50,2581.12,48ca43576cdc
AI6,50,2608.96,48ca43576cdc
AI7,50,2942.36,48ca43576cdc
AI0,100,2944.12,48ca43576cdc
AI1,100,2932.81,48ca43576cdc
AI2,100,2576.54,48ca43576cdc
AI3,100,2562.69,48ca43576cdc
AI4,100,2596.59,48ca43576cdc
AI5,100,2578.93,48ca43576cdc
AI6,100,2607.35,48ca43576cdc
AI7,100,2931.13,48ca43576cdc
AI0,200,2939.42,48ca43576cdc
AI1,200,2933.88,48ca43576cdc
AI2,200,2558.28,48ca43576cdc
AI3,200,2554.59,48ca43576cdc
AI4,200,2559.5,48ca43576cdc
AI5,200,2583.44,48ca43576cdc
AI6,200,2577.63,48ca43576cdc
AI7,200,2936.13,48ca43576cdc
AI0,500,2938.88,48ca43576cdc
AI1,500,2940.16,48ca43576cdc
AI2,500,2566.33,48ca43576cdc
AI3,500,2571.84,48ca43576cdc
AI4,500,2579.51,48ca43576cdc
AI5,500,2586.16,48ca43576cdc
AI6,500,2573.67,48ca43576cdc
AI7,500,2938.65,48ca43576cdc
AI0,1000,2935.62,48ca43576cdc
AI1,1000,2934.43,48ca43576cdc
AI2,1000,2563.25,48ca43576cdc
AI3,1000,2571.82,48ca43576cdc
AI4,1000,2580.33,48ca43576cdc
AI5,1000,2570.07,48ca43576cdc
AI6,1000,2585.9,48ca43576cdc
AI7,1000,2941.54,48ca43576cdc
AI0,2000,2936.52,48ca43576cdc
AI1,2000,2942.14,48ca43576cdc
AI2,2000,2562.89,48ca43576cdc
AI3,2000,2564.12,48ca43576cdc
AI4,2000,2569.27,48ca43576cdc
AI5,2000,2581.09,48ca43576cdc
AI6,2000,2579.72,48ca43576cdc
AI7,2000,2935.57,48ca43576cdc
AI0,1,2959.0,48ca43576cdc
AI1,1,2978.0,48ca43576cdc
AI2,1,2601.0,48ca43576cdc
AI3,1,2680.0,48ca43576cdc
AI4,1,2561.0,48ca43576cdc
AI5,1,2720.0,48ca43576cdc
AI6,1,2581.0,48ca43576cdc
AI7,1,2959.0,48ca43576cdc
AI0,10,2948.5,48ca43576cdc
AI1,10,2922.8,48ca43576cdc
AI2,10,2553.3,48ca43576cdc
AI3,10,2593.2,48ca43576cdc
AI4,10,2573.2,48ca43576cdc
AI5,10,2628.9,48ca43576cdc
AI6,10,2652.8,48ca43576cdc
AI7,10,2944.7,48ca43576cdc
AI0,20,2942.65,48ca43576cdc
AI1,20,2979.45,48ca43576cdc
AI2,20,2610.85,48ca43576cdc
AI3,20,2597.05,48ca43576cdc
AI4,20,2580.2,48ca43576cdc
AI5,20,2581.15,48ca43576cdc
AI6,20,2575.25,48ca43576cdc
AI7,20,2937.85,48ca43576cdc
AI0,50,2945.1,48ca43576cdc
AI1,50,2966.14,48ca43576cdc
AI2,50,2572.8,48ca43576cdc
AI3,50,2582.3,48ca43576cdc
AI4,50,2592.34,48ca43576cdc
AI5,50,2603.0,48ca43576cdc
AI6,50,2558.14,48ca43576cdc
AI7,50,2938.36,48ca43576cdc
AI0,100,2916.32,48ca43576cdc
AI1,100,2936.78,48ca43576cdc
AI2,100,2555.15,48ca43576cdc
AI3,100,2572.8,48ca43576cdc
AI4,100,2564.88,48ca43576cdc
AI5,100,2568.48,48ca43576cdc
AI6,100,2595.03,48ca43576cdc
AI7,100,2948.24,48ca43576cdc
AI0,200,2938.76,48ca43576cdc
AI1,200,2926.52,48ca43576cdc
AI2,200,2551.89,48ca43576cdc
AI3,200,2568.12,48ca43576cdc
AI4,200,2587.48,48ca43576cdc
AI5,200,2583.54,48ca43576cdc
AI6,200,2561.67,48ca43576cdc
AI7,200,2929.79,48ca43576cdc
AI0,500,2938.85,48ca43576cdc
AI1,500,2934.24,48ca43576cdc
AI2,500,2553.62,48ca43576cdc
AI3,500,2561.3,48ca43576cdc
AI4,500,2574.56,48ca43576cdc
AI5,500,2580.05,48ca43576cdc
AI6,500,2576.86,48ca43576cdc
AI7,500,2942.03,48ca43576cdc
AI0,1000,2936.98,48ca43576cdc
AI1,1000,2939.24,48ca43576cdc
AI2,1000,2568.82,48ca43576cdc
AI3,1000,2561.1,48ca43576cdc
AI4,1000,2572.07,48ca43576cdc
AI5,1000,2574.07,48ca43576cdc
AI6,1000,2583.4,48ca43576cdc
AI7,1000,2940.5,48ca43576cdc
AI0,2000,2942.07,48ca43576cdc
AI1,2000,2946.24,48ca43576cdc
AI2,2000,2560.99,48ca43576cdc
AI3,2000,2567.09,48ca43576cdc
AI4,2000,2573.45,48ca43576cdc
AI5,2000,2581.37,48ca43576cdc
AI6,2000,2581.28,48ca43576cdc
AI7,2000,2934.77,48ca43576cdc
AI0,1,2939.0,48ca43576cdc
AI1,1,2978.0,48ca43576cdc
AI2,1,2641.0,48ca43576cdc
AI3,1,2661.0,48ca43576cdc
AI4,1,2700.0,48ca43576cdc
AI5,1,2502.0,48ca43576cdc
AI6,1,2482.0,48ca43576cdc
AI7,1,2939.0,48ca43576cdc
AI0,10,2863.1,48ca43576cdc
AI1,10,2897.0,48ca43576cdc
AI2,10,2553.5,48ca43576cdc
AI3,10,2485.8,48ca43576cdc
AI4,10,2593.0,48ca43576cdc
AI5,10,2589.1,48ca43576cdc
AI6,10,2596.9,48ca43576cdc
AI7,10,2863.1,48ca43576cdc
AI0,20,2946.85,48ca43576cdc
AI1,20,2911.9,48ca43576cdc
AI2,20,2611.85,48ca43576cdc
AI3,20,2524.55,48ca43576cdc
AI4,20,2632.8,48ca43576cdc
AI5,20,2591.0,48ca43576cdc
AI6,20,2555.35,48ca43576cdc
AI7,20,2939.7,48ca43576cdc
AI0,50,2935.24,48ca43576cdc
AI1,50,2938.7,48ca43576cdc
AI2,50,2517.6,48ca43576cdc
AI3,50,2570.1,48ca43576cdc
AI4,50,2566.42,48ca43576cdc
AI5,50,2596.62,48ca43576cdc
AI6,50,2578.02,48ca43576cdc
AI7,50,2943.9,48ca43576cdc
AI0,100,2944.35,48ca43576cdc
AI1,100,2933.37,48ca43576cdc
AI2,100,2557.91,48ca43576cdc
AI3,100,2557.11,48ca43576cdc
AI4,100,2579.35,48ca43576cdc
AI5,100,2567.65,48ca43576cdc
AI6,100,2587.12,48ca43576cdc
AI7,100,2934.89,48ca43576cdc
AI0,200,2950.78,48ca43576cdc
