QTPy channel,Samples averaged,ADC code,QTPy identifier
AI0,1,32846.0,24ec4a1dd628
AI1,1,32866.0,24ec4a1dd628
AI2,1,32449.0,24ec4a1dd628
AI3,1,32132.0,24ec4a1dd628
AI4,1,32310.0,24ec4a1dd628
AI5,1,32251.0,24ec4a1dd628
AI6,1,32330.0,24ec4a1dd628
AI7,1,32846.0,24ec4a1dd628
AI0,10,32832.4,24ec4a1dd628
AI1,10,32884.1,24ec4a1dd628
AI2,10,32282.5,24ec4a1dd628
AI3,10,32302.3,24ec4a1dd628
AI4,10,32250.8,24ec4a1dd628
AI5,10,32250.9,24ec4a1dd628
AI6,10,32248.7,24ec4a1dd628
AI7,10,32878.1,24ec4a1dd628
AI0,20,32876.3,24ec4a1dd628
AI1,20,32871.1,24ec4a1dd628
AI2,20,32256.6,24ec4a1dd628
AI3,20,32267.6,24ec4a1dd628
AI4,20,32268.6,24ec4a1dd628
AI5,20,32187.1,24ec4a1dd628
AI6,20,32257.8,24ec4a1dd628
AI7,20,32817.5,24ec4a1dd628
AI0,50,32845.5,24ec4a1dd628
AI1,50,32833.7,24ec4a1dd628
AI2,50,32249.9,24ec4a1dd628
AI3,50,32232.4,24ec4a1dd628
AI4,50,32203.4,24ec4a1dd628
AI5,50,32244.3,24ec4a1dd628
AI6,50,32244.4,24ec4a1dd628
AI7,50,32859.4,24ec4a1dd628
AI0,100,32845.5,24ec4a1dd628
AI1,100,32814.0,24ec4a1dd628
AI2,100,32209.9,24ec4a1dd628
AI3,100,32253.9,24ec4a1dd628
AI4,100,32239.6,24ec4a1dd628
AI5,100,32269.0,24ec4a1dd628
AI6,100,32264.4,24ec4a1dd628
AI7,100,32870.4,24ec4a1dd628
AI0,200,32841.6,24ec4a1dd628
AI1,200,32851.1,24ec4a1dd628
AI2,200,32237.8,24ec4a1dd628
AI3,200,32262.3,24ec4a1dd628
AI4,200,32264.2,24ec4a1dd628
AI5,200,32256.1,24ec4a1dd628
AI6,200,32276.3,24ec4a1dd628
AI7,200,32840.2,24ec4a1dd628
AI0,500,32835.2,24ec4a1dd628
AI1,500,32847.9,24ec4a1dd628
AI2,500,32230.3,24ec4a1dd628
AI3,500,32250.4,24ec4a1dd628
AI4,500,32270.5,24ec4a1dd628
AI5,500,32262.7,24ec4a1dd628
AI6,500,32255.5,24ec4a1dd628
AI7,500,32835.0,24ec4a1dd628
AI0,1000,32844.5,24ec4a1dd628
AI1,1000,32843.3,24ec4a1dd628
AI2,1000,32248.0,24ec4a1dd628
AI3,1000,32258.5,24ec4a1dd628
AI4,1000,32252.5,24ec4a1dd628
AI5,1000,32264.7,24ec4a1dd628
AI6,1000,32269.8,24ec4a1dd628
AI7,1000,32840.2,24ec4a1dd628
AI0,2000,32845.9,24ec4a1dd628
AI1,2000,32839.2,24ec4a1dd628
AI2,2000,32244.9,24ec4a1dd628
AI3,2000,32248.7,24ec4a1dd628
AI4,2000,32254.0,24ec4a1dd628
AI5,2000,32255.6,24ec4a1dd628
AI6,2000,32258.9,24ec4a1dd628
AI7,2000,32839.6,24ec4a1dd628
AI0,1,32787.0,24ec4a1dd628
AI1,1,32846.0,24ec4a1dd628
AI2,1,32310.0,24ec4a1dd628
AI3,1,32410.0,24ec4a1dd628
AI4,1,32092.0,24ec4a1dd628
AI5,1,32310.0,24ec4a1dd628
AI6,1,32271.0,24ec4a1dd628
AI7,1,32807.0,24ec4a1dd628
AI0,10,32882.1,24ec4a1dd628
AI1,10,32840.4,24ec4a1dd628
AI2,10,32217.0,24ec4a1dd628
AI3,10,32276.6,24ec4a1dd628
AI4,10,32344.1,24ec4a1dd628
AI5,10,32228.9,24ec4a1dd628
AI6,10,32211.0,24ec4a1dd628
AI7,10,32810.5,24ec4a1dd628
AI0,20,32830.5,24ec4a1dd628
AI1,20,32838.3,24ec4a1dd628
AI2,20,32170.2,24ec4a1dd628
AI3,20,32225.9,24ec4a1dd628
AI4,20,32268.5,24ec4a1dd628
AI5,20,32284.4,24ec4a1dd628
AI6,20,32256.7,24ec4a1dd628
AI7,20,32863.1,24ec4a1dd628
AI0,50,32846.4,24ec4a1dd628
AI1,50,32843.6,24ec4a1dd628
AI2,50,32245.2,24ec4a1dd628
AI3,50,32242.0,24ec4a1dd628
AI4,50,32226.2,24ec4a1dd628
AI5,50,32234.4,24ec4a1dd628
AI6,50,32249.6,24ec4a1dd628
AI7,50,32838.4,24ec4a1dd628
AI0,100,32832.5,24ec4a1dd628
AI1,100,32855.1,24ec4a1dd628
AI2,100,32264.2,24ec4a1dd628
AI3,100,32233.8,24ec4a1dd628
AI4,100,32275.8,24ec4a1dd628
AI5,100,32256.3,24ec4a1dd628
AI6,100,32243.8,24ec4a1dd628
AI7,100,32847.1,24ec4a1dd628
AI0,200,32841.7,24ec4a1dd628
AI1,200,32855.4,24ec4a1dd628
AI2,200,32245.3,24ec4a1dd628
AI3,200,32247.6,24ec4a1dd628
AI4,200,32256.9,24ec4a1dd628
AI5,200,32261.3,24ec4a1dd628
AI6,200,32259.5,24ec4a1dd628
AI7,200,32821.1,24ec4a1dd628
AI0,500,32838.7,24ec4a1dd628
