QTPy channel,Samples averaged,ADC code,QTPy identifier
AI0,1,59557.0,24ec4a1dd628
AI1,1,59557.0,24ec4a1dd628
AI2,1,59438.0,24ec4a1dd628
AI3,1,59041.0,24ec4a1dd628
AI4,1,59199.0,24ec4a1dd628
AI5,1,59736.0,24ec4a1dd628
AI6,1,59815.0,24ec4a1dd628
AI7,1,59756.0,24ec4a1dd628
AI0,10,59721.6,24ec4a1dd628
AI1,10,59695.9,24ec4a1dd628
AI2,10,59425.9,24ec4a1dd628
AI3,10,59378.0,24ec4a1dd628
AI4,10,59427.6,24ec4a1dd628
AI5,10,59376.0,24ec4a1dd628
AI6,10,59425.8,24ec4a1dd628
AI7,10,59636.3,24ec4a1dd628
AI0,20,59676.0,24ec4a1dd628
AI1,20,59617.3,24ec4a1dd628
AI2,20,59514.2,24ec4a1dd628
AI3,20,59380.2,24ec4a1dd628
AI4,20,59451.5,24ec4a1dd628
AI5,20,59455.5,24ec4a1dd628
AI6,20,59397.9,24ec4a1dd628
AI7,20,59589.5,24ec4a1dd628
AI0,50,59643.5,24ec4a1dd628
AI1,50,59614.0,24ec4a1dd628
AI2,50,59391.2,24ec4a1dd628
AI3,50,59413.0,24ec4a1dd628
AI4,50,59413.8,24ec4a1dd628
AI5,50,59445.3,24ec4a1dd628
AI6,50,59504.9,24ec4a1dd628
AI7,50,59658.1,24ec4a1dd628
AI0,100,59654.6,24ec4a1dd628
AI1,100,59671.7,24ec4a1dd628
AI2,100,59385.0,24ec4a1dd628
AI3,100,59358.0,24ec4a1dd628
AI4,100,59338.6,24ec4a1dd628
AI5,100,59427.1,24ec4a1dd628
AI6,100,59409.3,24ec4a1dd628
AI7,100,59646.5,24ec4a1dd628
AI0,200,59669.3,24ec4a1dd628
AI1,200,59636.2,24ec4a1dd628
AI2,200,59393.8,24ec4a1dd628
AI3,200,59404.1,24ec4a1dd628
AI4,200,59385.6,24ec4a1dd628
AI5,200,59413.0,24ec4a1dd628
AI6,200,59401.9,24ec4a1dd628
AI7,200,59655.8,24ec4a1dd628
AI0,500,59656.8,24ec4a1dd628
AI1,500,59654.2,24ec4a1dd628
AI2,500,59409.3,24ec4a1dd628
AI3,500,59393.8,24ec4a1dd628
AI4,500,59396.5,24ec4a1dd628
AI5,500,59431.4,24ec4a1dd628
AI6,500,59421.0,24ec4a1dd628
AI7,500,59661.8,24ec4a1dd628
AI0,1000,59654.4,24ec4a1dd628
AI1,1000,59655.5,24ec4a1dd628
AI2,1000,59399.1,24ec4a1dd628
AI3,1000,59417.6,24ec4a1dd628
AI4,1000,59413.5,24ec4a1dd628
AI5,1000,59437.7,24ec4a1dd628
AI6,1000,59412.0,24ec4a1dd628
AI7,1000,59646.4,24ec4a1dd628
AI0,2000,59659.9,24ec4a1dd628
AI1,2000,59658.8,24ec4a1dd628
AI2,2000,59405.7,24ec4a1dd628
AI3,2000,59408.3,24ec4a1dd628
AI4,2000,59403.1,24ec4a1dd628
AI5,2000,59421.9,24ec4a1dd628
AI6,2000,59406.5,24ec4a1dd628
AI7,2000,59656.6,24ec4a1dd628
AI0,1,59497.0,24ec4a1dd628
AI1,1,59656.0,24ec4a1dd628
AI2,1,59378.0,24ec4a1dd628
AI3,1,59497.0,24ec4a1dd628
AI4,1,58961.0,24ec4a1dd628
AI5,1,59438.0,24ec4a1dd628
AI6,1,59199.0,24ec4a1dd628
AI7,1,59756.0,24ec4a1dd628
AI0,10,59668.1,24ec4a1dd628
AI1,10,59687.9,24ec4a1dd628
AI2,10,59358.3,24ec4a1dd628
AI3,10,59570.8,24ec4a1dd628
AI4,10,59314.4,24ec4a1dd628
AI5,10,59423.7,24ec4a1dd628
AI6,10,59350.2,24ec4a1dd628
