QTPy channel,Samples averaged,ADC code,QTPy identifier
AI0,1,3197.0,24ec4a1dd628
AI1,1,2959.0,24ec4a1dd628
AI2,1,2522.0,24ec4a1dd628
AI3,1,2959.0,24ec4a1dd628
AI4,1,2522.0,24ec4a1dd628
AI5,1,2601.0,24ec4a1dd628
AI6,1,2581.0,24ec4a1dd628
AI7,1,2959.0,24ec4a1dd628
AI0,10,2978.7,24ec4a1dd628
AI1,10,2992.4,24ec4a1dd628
AI2,10,2533.5,24ec4a1dd628
AI3,10,2571.2,24ec4a1dd628
AI4,10,2636.7,24ec4a1dd628
AI5,10,2529.3,24ec4a1dd628
AI6,10,2549.5,24ec4a1dd628
AI7,10,2930.8,24ec4a1dd628
AI0,20,2954.75,24ec4a1dd628
AI1,20,2953.6,24ec4a1dd628
AI2,20,2521.55,24ec4a1dd628
AI3,20,2565.15,24ec4a1dd628
AI4,20,2575.15,24ec4a1dd628
AI5,20,2605.0,24ec4a1dd628
AI6,20,2541.4,24ec4a1dd628
AI7,20,2970.55,24ec4a1dd628
AI0,50,2962.98,24ec4a1dd628
AI1,50,2959.42,24ec4a1dd628
AI2,50,2579.54,24ec4a1dd628
AI3,50,2592.98,24ec4a1dd628
AI4,50,2559.26,24ec4a1dd628
AI5,50,2571.64,24ec4a1dd628
AI6,50,2611.26,24ec4a1dd628
AI7,50,2956.2,24ec4a1dd628
AI0,100,2978.88,24ec4a1dd628
AI1,100,2963.77,24ec4a1dd628
AI2,100,2582.14,24ec4a1dd628
AI3,100,2599.26,24ec4a1dd628
AI4,100,2553.89,24ec4a1dd628
AI5,100,2584.73,24ec4a1dd628
AI6,100,2581.55,24ec4a1dd628
AI7,100,2959.39,24ec4a1dd628
AI0,200,2979.16,24ec4a1dd628
AI1,200,2973.4,24ec4a1dd628
AI2,200,2565.05,24ec4a1dd628
AI3,200,2576.07,24ec4a1dd628
AI4,200,2566.17,24ec4a1dd628
AI5,200,2590.57,24ec4a1dd628
AI6,200,2577.0,24ec4a1dd628
AI7,200,2976.42,24ec4a1dd628
AI0,500,2970.43,24ec4a1dd628
AI1,500,2975.13,24ec4a1dd628
AI2,500,2573.74,24ec4a1dd628
AI3,500,2574.04,24ec4a1dd628
AI4,500,2571.16,24ec4a1dd628
AI5,500,2571.07,24ec4a1dd628
AI6,500,2595.34,24ec4a1dd628
AI7,500,2974.84,24ec4a1dd628
AI0,1000,2974.57,24ec4a1dd628
AI1,1000,2972.17,24ec4a1dd628
AI2,1000,2571.7,24ec4a1dd628
AI3,1000,2571.88,24ec4a1dd628
AI4,1000,2578.59,24ec4a1dd628
AI5,1000,2586.74,24ec4a1dd628
AI6,1000,2582.49,24ec4a1dd628
AI7,1000,2970.18,24ec4a1dd628
AI0,2000,2973.05,24ec4a1dd628
AI1,2000,2977.63,24ec4a1dd628
AI2,2000,2565.32,24ec4a1dd628
AI3,2000,2577.78,24ec4a1dd628
AI4,2000,2575.51,24ec4a1dd628
AI5,2000,2579.25,24ec4a1dd628
AI6,2000,2579.37,24ec4a1dd628
AI7,2000,2972.65,24ec4a1dd628
AI0,1,2959.0,24ec4a1dd628
AI1,1,2998.0,24ec4a1dd628
AI2,1,2244.0,24ec4a1dd628
AI3,1,2641.0,24ec4a1dd628
AI4,1,2402.0,24ec4a1dd628
AI5,1,2680.0,24ec4a1dd628
AI6,1,2581.0,24ec4a1dd628
AI7,1,3038.0,24ec4a1dd628
AI0,10,2976.5,24ec4a1dd628
AI1,10,2944.6,24ec4a1dd628
AI2,10,2513.6,24ec4a1dd628
AI3,10,2599.0,24ec4a1dd628
AI4,10,2571.3,24ec4a1dd628
AI5,10,2618.8,24ec4a1dd628
AI6,10,2513.7,24ec4a1dd628
AI7,10,2885.1,24ec4a1dd628
AI0,20,2949.7,24ec4a1dd628
AI1,20,3032.95,24ec4a1dd628
AI2,20,2569.25,24ec4a1dd628
AI3,20,2601.95,24ec4a1dd628
AI4,20,2539.4,24ec4a1dd628
AI5,20,2578.2,24ec4a1dd628
AI6,20,2585.1,24ec4a1dd628
AI7,20,2992.4,24ec4a1dd628
AI0,50,2977.72,24ec4a1dd628
AI1,50,2963.46,24ec4a1dd628
AI2,50,2535.06,24ec4a1dd628
AI3,50,2552.58,24ec4a1dd628
AI4,50,2556.1,24ec4a1dd628
AI5,50,2604.52,24ec4a1dd628
AI6,50,2553.72,24ec4a1dd628
AI7,50,2946.32,24ec4a1dd628
AI0,100,2980.14,24ec4a1dd628
AI1,100,2995.99,24ec4a1dd628
AI2,100,2560.87,24ec4a1dd628
AI3,100,2585.7,24ec4a1dd628
AI4,100,2582.57,24ec4a1dd628
AI5,100,2565.25,24ec4a1dd628
AI6,100,2577.13,24ec4a1dd628
AI7,100,2978.85,24ec4a1dd628
AI0,200,2971.92,24ec4a1dd628
AI1,200,2972.98,24ec4a1dd628
AI2,200,2554.64,24ec4a1dd628
AI3,200,2562.03,24ec4a1dd628
AI4,200,2573.98,24ec4a1dd628
AI5,200,2596.69,24ec4a1dd628
AI6,200,2600.88,24ec4a1dd628
AI7,200,2966.29,24ec4a1dd628
AI0,500,2970.7,24ec4a1dd628
AI1,500,2968.99,24ec4a1dd628
AI2,500,2557.79,24ec4a1dd628
AI3,500,2569.41,24ec4a1dd628
AI4,500,2585.26,24ec4a1dd628
AI5,500,2586.73,24ec4a1dd628
AI6,500,2592.29,24ec4a1dd628
AI7,500,2975.31,24ec4a1dd628
AI0,1000,2976.6,24ec4a1dd628
AI1,1000,2970.37,24ec4a1dd628
AI2,1000,2571.68,24ec4a1dd628
AI3,1000,2577.36,24ec4a1dd628
AI4,1000,2570.36,24ec4a1dd628
AI5,1000,2573.17,24ec4a1dd628
AI6,1000,2592.77,24ec4a1dd628
AI7,1000,2973.85,24ec4a1dd628
AI0,2000,2973.77,24ec4a1dd628
AI1,2000,2977.21,24ec4a1dd628
AI2,2000,2561.16,24ec4a1dd628
AI3,2000,2571.13,24ec4a1dd628
AI4,2000,2579.06,24ec4a1dd628
AI5,2000,2579.49,24ec4a1dd628
AI6,2000,2591.95,24ec4a1dd628
AI7,2000,2971.02,24ec4a1dd628
AI0,1,2939.0,24ec4a1dd628
AI1,1,2978.0,24ec4a1dd628
AI2,1,2621.0,24ec4a1dd628
AI3,1,2502.0,24ec4a1dd628
AI4,1,2303.0,24ec4a1dd628
AI5,1,2561.0,24ec4a1dd628
AI6,1,2303.0,24ec4a1dd628
AI7,1,3038.0,24ec4a1dd628
AI0,10,2960.5,24ec4a1dd628
AI1,10,3016.1,24ec4a1dd628
AI2,10,2603.1,24ec4a1dd628
AI3,10,2557.1,24ec4a1dd628
AI4,10,2537.4,24ec4a1dd628
AI5,10,2521.6,24ec4a1dd628
AI6,10,2587.1,24ec4a1dd628
AI7,10,2996.3,24ec4a1dd628
AI0,20,2930.7,24ec4a1dd628
AI1,20,2938.75,24ec4a1dd628
AI2,20,2592.1,24ec4a1dd628
AI3,20,2602.9,24ec4a1dd628
AI4,20,2564.3,24ec4a1dd628
AI5,20,2536.45,24ec4a1dd628
AI6,20,2631.75,24ec4a1dd628
AI7,20,2916.9,24ec4a1dd628
AI0,50,2964.56,24ec4a1dd628
AI1,50,2985.94,24ec4a1dd628
AI2,50,2548.16,24ec4a1dd628
AI3,50,2591.44,24ec4a1dd628
AI4,50,2581.54,24ec4a1dd628
AI5,50,2567.64,24ec4a1dd628
AI6,50,2574.02,24ec4a1dd628
AI7,50,2949.04,24ec4a1dd628
AI0,100,2984.02,24ec4a1dd628
AI1,100,2984.44,24ec4a1dd628
AI2,100,2591.48,24ec4a1dd628
AI3,100,2567.4,24ec4a1dd628
AI4,100,2576.2,24ec4a1dd628
AI5,100,2570.82,24ec4a1dd628
AI6,100,2587.32,24ec4a1dd628
AI7,100,2966.31,24ec4a1dd628
AI0,200,2973.42,24ec4a1dd628
AI1,200,2975.69,24ec4a1dd628
AI2,200,2562.77,24ec4a1dd628
AI3,200,2568.43,24ec4a1dd628
AI4,200,2581.3,24ec4a1dd628
AI5,200,2578.52,24ec4a1dd628
AI6,200,2583.33,24ec4a1dd628
AI7,200,2984.0,24ec4a1dd628
AI0,500,2978.51,24ec4a1dd628
AI1,500,2972.11,24ec4a1dd628
AI2,500,2558.36,24ec4a1dd628
AI3,500,2569.03,24ec4a1dd628
AI4,500,2586.39,24ec4a1dd628
AI5,500,2586.91,24ec4a1dd628
AI6,500,2582.51,24ec4a1dd628
