Samples averaged,Raw X,Raw Y,Raw Z,QTPy identifier
1,0.860001,0.5,21.08,24ec4a1dd628
1,0.860001,-0.5,20.08,24ec4a1dd628
1,-0.139999,0.5,21.08,24ec4a1dd628
1,-0.139999,0.5,20.08,24ec4a1dd628
1,-0.139999,-0.5,21.08,24ec4a1dd628
1,0.860001,-0.5,20.08,24ec4a1dd628
1,-0.139999,-1.5,19.08,24ec4a1dd628
1,0.860001,-0.5,20.08,24ec4a1dd628
1,-0.139999,0.5,20.08,24ec4a1dd628
1,0.860001,0.5,20.08,24ec4a1dd628
1,-0.139999,-0.5,21.08,24ec4a1dd628
1,-0.139999,-0.5,21.08,24ec4a1dd628
1,-0.139999,0.5,20.08,24ec4a1dd628
1,-0.139999,-1.5,21.08,24ec4a1dd628
1,-0.139999,0.5,21.08,24ec4a1dd628
1,-0.139999,0.5,21.08,24ec4a1dd628
1,0.860001,0.5,20.08,24ec4a1dd628
1,-0.139999,-0.5,21.08,24ec4a1dd628
1,-0.139999,-1.5,21.08,24ec4a1dd628
1,0.860001,0.5,20.08,24ec4a1dd628
1,-1.14,0.5,19.08,24ec4a1dd628
1,-1.14,-0.5,19.08,24ec4a1dd628
1,-0.139999,-1.5,21.08,24ec4a1dd628
1,-0.139999,-0.5,22.08,24ec4a1dd628
1,0.860001,0.5,20.08,24ec4a1dd628
1,-0.139999,-0.5,20.08,24ec4a1dd628
1,-0.139999,-0.5,20.08,24ec4a1dd628
1,-0.139999,-0.5,21.08,24ec4a1dd628
1,0.860001,-0.5,22.08,24ec4a1dd628
1,-0.139999,0.5,22.08,24ec4a1dd628
2,0.360001,1.0,21.08,24ec4a1dd628
2,0.860001,-0.5,20.08,24ec4a1dd628
2,0.360001,0.5,20.08,24ec4a1dd628
2,-0.639999,-0.5,20.58,24ec4a1dd628
2,-0.139999,0.0,20.58,24ec4a1dd628
2,-0.139999,-1.0,21.08,24ec4a1dd628
2,-0.139999,1.0,21.08,24ec4a1dd628
2,-0.639999,-0.5,20.08,24ec4a1dd628
2,-0.139999,0.0,20.08,24ec4a1dd628
2,-0.139999,0.5,20.08,24ec4a1dd628
2,-0.639999,0.0,21.08,24ec4a1dd628
2,-0.139999,0.0,20.58,24ec4a1dd628
2,-0.139999,-1.0,20.58,24ec4a1dd628
2,-0.139999,-0.5,21.08,24ec4a1dd628
2,-0.139999,0.0,21.08,24ec4a1dd628
2,-0.139999,0.0,20.58,24ec4a1dd628
2,0.860001,-1.5,21.08,24ec4a1dd628
2,-0.139999,-0.5,20.58,24ec4a1dd628
2,0.360001,-0.5,20.58,24ec4a1dd628
