minutes,A0,A1,A2,A3,A4,A5,A6,A7,XL3D
34.38738148,2506.941283,395.6302793,6822.698045,1325.438406,19310.45223,8777.75818,16822.69805,20256.88328,1155.385714
35.50621638,2504.632157,395.6302793,6822.698045,1324.668698,19308.1431,8777.75818,16822.69805,20256.88328,1169.038776
36.62488461,2504.632157,394.8605705,6821.928337,1324.668698,19308.91281,8776.988472,16821.92834,20256.88328,1145.828571
37.74355284,2503.862448,394.8605705,6821.928337,1324.668698,19307.3734,8775.449054,16821.92834,20256.88328,1141.732653
38.86238774,2502.323031,394.0908618,6821.158628,1324.668698,19305.83398,8775.449054,16821.15863,20256.88328,1164.942857
39.98105597,2501.553322,392.5514444,6821.158628,1323.898989,19305.06427,8775.449054,16821.15863,20256.88328,1162.212245
41.09972421,2500.013905,391.7817357,6819.619211,1323.898989,19302.75514,8774.679346,16819.61921,20256.88328,1155.385714
42.23505913,2499.244196,391.012027,6819.619211,1323.12928,19301.21573,8773.909637,16819.61921,20256.88328,1163.577551
43.35372736,2497.704779,390.2423183,6818.849502,1323.12928,19301.21573,8773.139928,16818.8495,20256.88328,1158.116327
44.48922895,2497.704779,389.4726095,6818.849502,1323.12928,19300.44602,8773.139928,16818.8495,20256.88328,1167.673469
45.60789719,2496.93507,388.7029008,6818.079793,1323.12928,19298.13689,8771.600511,16818.07979,20256.88328,1163.577551
46.72673208,2495.395652,387.9331921,6817.310084,1322.359572,19298.9066,8771.600511,16817.31008,20256.88328,1166.308163
47.86223367,2495.395652,387.9331921,6816.540376,1322.359572,19295.82776,8770.830802,16816.54038,20256.88328,1167.673469
48.98073524,2493.856235,387.1634834,6815.770667,1322.359572,19295.05806,8770.061093,16815.77067,20256.88328,1152.655102
50.09940347,2493.856235,387.1634834,6815.000958,1322.359572,19295.05806,8769.291385,16815.00096,20256.88328,1163.577551
51.21840504,2493.086526,386.3937747,6815.000958,1321.589863,19293.51864,8769.291385,16815.00096,20256.88328,1156.75102
52.33690661,2492.316818,386.3937747,6815.000958,1321.589863,19291.97922,8768.521676,16815.00096,20256.11358,1156.75102
53.45557484,2491.547109,385.624066,6814.23125,1321.589863,19291.20951,8768.521676,16814.23125,20256.11358,1169.038776
54.57424307,2490.007691,385.624066,6814.23125,1320.820154,19290.4398,8768.521676,16814.23125,20256.11358,1166.308163
55.69307797,2490.007691,384.8543573,6813.461541,1320.050445,19290.4398,8766.982258,16813.46154,20256.11358,1169.038776
56.8117462,2487.698565,384.0846485,6813.461541,1320.050445,19290.4398,8767.751967,16813.46154,20256.11358,1160.846939
57.93041444,2488.468274,384.0846485,6813.461541,1320.050445,19289.67009,8766.982258,16813.46154,20256.11358,1159.481633
59.06591603,2488.468274,384.0846485,6811.922124,1320.050445,19288.90039,8766.982258,16811.92212,20256.11358,1159.481633
60.21791764,2485.389439,384.0846485,6811.922124,1320.050445,19288.13068,8766.21255,16811.92212,20256.11358,1144.463265
61.37008592,2485.389439,383.3149398,6811.152415,1320.050445,19287.36097,8765.442841,16811.15241,20256.11358,1154.020408
62.48875415,2484.61973,383.3149398,6811.152415,1319.280737,19286.59126,8764.673132,16811.15241,20256.11358,1145.828571
63.60742238,2484.61973,383.3149398,6811.152415,1319.280737,19286.59126,8763.903424,16811.15241,20256.11358,1173.134694
64.72625728,2483.850022,382.5452311,6810.382706,1319.280737,19285.05184,8763.133715,16810.38271,20256.11358,1149.92449
65.86159221,2483.080313,382.5452311,6810.382706,1319.280737,19285.05184,8763.133715,16810.38271,20256.11358,1160.846939
66.98026044,2483.080313,382.5452311,6810.382706,1318.511028,19284.28213,8763.133715,16810.38271,20256.11358,1155.385714
68.09892867,2481.540896,381.7755224,6808.843289,1318.511028,19285.05184,8762.364006,16808.84329,20256.11358,1164.942857
69.23443026,2481.540896,381.7755224,6808.843289,1317.741319,19284.28213,8761.594297,16808.84329,20256.11358,1144.463265
70.3530985,2480.001478,381.0058137,6808.843289,1317.741319,19283.51242,8761.594297,16808.84329,20256.11358,1159.481633
71.47193339,2526.95371,401.787949,6802.685619,1323.12928,19318.14932,8789.303811,16802.68562,20256.11358,315.722449
72.59060163,2541.578175,426.4186278,6806.534163,1391.633356,19349.70737,8729.266531,16806.53416,20256.11358,89.08163265
73.70926986,2553.123806,546.4931873,6803.455328,1408.566948,19357.40446,8562.23974,16803.45533,20256.11358,101.3693878
74.82777143,2238.312942,606.530467,6832.704259,1548.653934,19290.4398,8874.741478,16832.70426,20256.11358,1118.522449
75.94677299,2258.325368,645.7856115,6854.256103,1629.473349,19306.60369,8936.318176,16854.2561,20256.11358,1179.961224
77.06544122,2276.028669,700.4349302,6865.801734,1656.413154,19323.53728,8977.882446,16865.80173,20256.11358,1170.404082
78.18410946,2294.501678,721.9867742,6878.886782,1689.510628,19337.39203,9033.301474,16878.88678,20256.11358,1162.212245
79.31944438,2306.817017,738.1506572,6888.123286,1716.450433,19343.5497,9062.550405,16888.12329,20256.11358,1170.404082
80.43811261,2318.362648,762.0116274,6895.050665,1741.081112,19351.24679,9100.266132,16895.05066,20256.11358,1192.24898
81.55694751,2324.520318,783.5634714,6901.208334,1758.784413,19356.63475,9121.048267,16901.20833,20256.11358,1175.865306
82.6924491,2330.677988,806.6547328,6906.596295,1775.718004,19360.4833,9135.672733,16906.5963,20256.11358,1170.404082
83.81111734,2337.605366,835.903664,6911.214548,1805.736644,19362.02271,9147.218363,16911.21455,20256.11358,1196.344898
84.92978557,2343.763036,852.067547,6916.602509,1819.591401,19368.18038,9154.915451,16916.60251,20256.11358,1186.787755
86.04828713,2347.611579,866.6920125,6921.220761,1833.446158,19371.25922,9160.303411,16921.22076,20255.34387,1155.385714
87.18378872,2352.99954,882.8558956,6931.226974,1841.912954,19372.02893,9168.770207,16931.22697,20255.34387,1179.961224
88.31929032,2356.078375,899.7894873,6938.154353,1851.919167,19375.87747,9184.93409,16938.15435,20255.34387,1167.673469
89.45462524,2359.15721,913.6442441,6944.312022,1858.846546,19376.64718,9194.940304,16944.31202,20255.34387,1169.038776
90.59012682,2366.084588,925.1898749,6950.469692,1870.392176,19378.95631,9206.485934,16950.46969,20255.34387,1164.942857
91.70879506,2374.551384,929.0384184,6952.00911,1881.168098,19382.03514,9216.492148,16952.00911,20255.34387,1174.5
92.82729663,2385.327306,933.6566707,6955.087944,1891.94402,19382.80485,9226.498361,16955.08794,20255.34387,1177.230612
93.94629819,2393.024393,945.2023014,6955.857653,1907.338195,19384.34427,9238.043992,16955.85765,20255.34387,1173.134694
95.06496642,2398.412354,959.0570583,6957.397071,1918.114117,19384.34427,9247.280496,16957.39707,20255.34387,1182.691837
96.18346799,2404.570024,981.378611,6959.706197,1928.890039,19387.4231,9256.517001,16959.7062,20255.34387,1170.404082
97.31896958,2410.727694,995.2333679,6962.015323,1946.593339,19389.73223,9263.444379,16962.01532,20255.34387,1170.404082
